a	A
aa	A A
aah	aah
aardvark	aardvark
aardvarks	aardvark
aardwolf	serigala tanah
ab	ab
aba	aba
abaca	abaca
aback	kembali
abacus	sempoa
abaft	belakang
abalone	pauhi
abandon	meninggalkan
abandoned	ditinggalkan
abandoning	meninggalkan
abandonment	pengabaian
abandons	meninggalkan
abas	abas
abase	menghina
abased	direndahkan
abasement	kerendahan diri
abashed	malu
abate	mereda
abated	mereda
abatement	pengurangan
abates	mereda
abating	mereda
abattoir	tempat pemotongan
abattoirs	rumah jagal
abaxial	abaksial
abb	anak laki-laki
abba	abba
abbe	abbe
abbes	biara-biara
abbess	kepala asrama biarawati
abbesses	kepala biarawati
abbey	biara
abbeys	biara-biara
abbot	kepala biara
abbots	kepala biara
abbr	singkatan
abbrev	singkatan
abbreviate	menyingkat
abbreviated	disingkat
abbreviates	singkatan
abbreviating	menyingkat
abbreviation	singkatan
abbreviations	singkatan
abbrevs	singkatan
abdicate	melepaskan
abdicated	turun takhta
abdicates	turun takhta
abdicating	turun takhta
abdication	abdikasi
abdomen	perut
abdomens	perut
abdominal	perut
abduct	menculik
abducted	diculik
abductee	korban penculikan
abductees	korban penculikan
abducting	penculikan
abduction	penculikan
abductions	penculikan
abductor	penculik
abductors	penculik
abducts	menculik
abeam	balok
abecedarian	berhubung dgn abjad
abed	tempat tidur
abele	abele
abeles	Abeles
aberrant	menyimpang
aberration	penyimpangan
aberrations	penyimpangan
abet	bersekongkol
abets	membantu
abetted	dibantu
abetting	membantu
abettor	kaki tangan
abettors	para kaki tangan
abeyance	penundaan
abhor	benci
abhorred	dibenci
abhorrence	kebencian
abhorrent	mengerikan
abhors	membenci
abide	tinggal
abides	tetap tinggal
abiding	kekal
abies	abies
abigail	Abigail
abilities	kemampuan
ability	kemampuan
abiogenesis	abiogenesis
abiotic	abiotik
abject	hina
abjection	kehinaan
abjectly	sangat hina
abjuration	penolakan
abjure	mengharamkan
abjured	meninggalkan
abl	abl
ablate	ablasi
ablated	diablasi
ablation	ablasi
ablations	ablasi
ablative	ablatif
ablaze	terang benderang
able	mampu
abler	lebih mampu
ablest	paling mampu
ablution	pembersihan
ablutions	wudhu
ably	mampu
abnegation	pelepasan diri
abnormal	abnormal
abnormalities	kelainan
abnormality	kelainan
abnormally	abnormal
aboard	di atas kapal
abode	tempat tinggal
abodes	tempat tinggal
abolish	menghapuskan
abolished	dihapuskan
abolishes	menghapuskan
abolishing	menghapus
abolishment	penghapusan
abolition	penghapusan
abolitionism	penghapusan perbudakan
abolitionist	penghapus perbudakan
abolitionists	kaum abolisionis
abominable	mengerikan
abominably	sangat menjijikkan
abomination	kekejian
abominations	kekejian
aboral	aboral
aboriginal	asli
aboriginals	penduduk asli
aborigine	orang pribumi
aborigines	penduduk asli
abort	menggugurkan
aborted	digugurkan
abortifacient	aborsi
aborting	menggugurkan
abortion	abortus
abortionist	tukang menggugurkan kandungan
abortionists	pelaku aborsi
abortions	aborsi
abortive	gagal
aborts	aborsi
abound	berlimpah
abounded	berlimpah
abounding	berlimpah
abounds	berlimpah
about	tentang
above	di atas
aboveboard	tulus
aboveground	di atas tanah
abr	abr
abracadabra	omong kosong
abrade	menggarut
abraded	terkikis
abrading	mengikis
abrasion	abrasi
abrasions	lecet
abrasive	kasar
abrasives	bahan abrasif
abraxas	abraxas
abreast	sejajar
abri	abri
abridge	membatasi
abridged	disingkat
abridging	meringkas
abridgment	pembatasan
abroad	luar negeri
abrogate	membatalkan
abrogated	dibatalkan
abrogates	membatalkan
abrogating	membatalkan
abrogation	pencabutan
abrupt	mendadak
abruption	abrupsi
abruptly	tiba-tiba
abruptness	kecuraman
abs	otot perut
abscess	abses
abscessed	bernanah
abscesses	abses
abscissa	absis
abscissas	absis
abscission	amputasi
abscond	melarikan diri
absconded	melarikan diri
absconder	buronan
absconding	melarikan diri
abseil	turun tebing
abseiling	menuruni tebing
absence	ketiadaan
absences	ketidakhadiran
absent	absen
absented	absen
absentee	tidak hadir
absenteeism	ketidakhadiran
absentees	orang yang absen
absenting	tidak hadir
absently	tanpa sadar
absentminded	linglung
absentmindedly	tanpa sadar
absents	absen
absinthe	absinth
absolute	mutlak
absolutely	sangat
absoluteness	kemutlakan
absolutes	absolut
absolution	absolusi
absolutism	absolutisme
absolutist	absolutis
absolutists	kaum absolutis
absolve	membebaskan
absolved	dibebaskan
absolves	membebaskan
absolving	membebaskan
absorb	menyerap
absorbable	terserap
absorbance	absorbansi
absorbed	terserap
absorbency	daya serap
absorbent	penyerap
absorbents	bahan penyerap
absorber	penyerap
absorbers	penyerap
absorbing	mengasyikkan
absorbs	menyerap
absorption	penyerapan
absorptions	penyerapan
absorptive	menyerap
absorptivity	daya serap
abstain	menjauhkan diri
abstained	abstain
abstainers	orang yang berpantang
abstaining	berpantang
abstains	menahan diri
abstemious	hemat
abstention	abstensi
abstentions	abstain
abstinence	pantang
abstinent	yg berpuasa
abstract	abstrak
abstracted	abstrak
abstractedly	dgn abstrak
abstracting	abstraksi
abstraction	abstraksi
abstractions	abstraksi
abstractly	secara abstrak
abstractness	abstraksi
abstracts	abstrak
abstruse	muskil
absurd	absurd
absurdist	absurdis
absurdities	absurditas
absurdity	kemustahilan
absurdly	bukan kepalang
abundance	kelimpahan
abundances	kelimpahan
abundant	melimpah
abundantly	berlimpah
abuse	melecehkan
abused	dilecehkan
abuser	pelaku kekerasan
abusers	pelaku kekerasan
abuses	pelecehan
abusing	menyalahgunakan
abusive	kasar
abusively	dgn kasar
abut	berbatasan
abutilon	abutilon
abutment	penyangga
abutments	penyangga
abuts	berbatasan
abutted	berbatasan
abutter	berbatasan
abutters	tetangga
abutting	berbatasan
abuzz	ramai
aby	aby
abysmal	bukan kepalang
abysmally	sangat buruk
abyss	jurang yang dalam
abyssal	yg ada di dalamnya
abysses	jurang
ac	ac
acacia	akasia
acacias	akasia
academe	akademi
academia	akademisi
academic	akademik
academical	akademik
academically	secara akademis
academician	akademisi
academicians	akademisi
academics	akademisi
academies	akademi
academy	akademi
acanthus	daun akantus
acari	tungau
acarology	akarologi
acc	akun
accede	menyetujui
acceded	menyetujui
accedes	menyetujui
acceding	menyetujui
accel	akselerasi
accelerando	accelerando
accelerant	akselerator
accelerate	mempercepat
accelerated	dipercepat
accelerates	mempercepat
accelerating	mempercepat
acceleration	percepatan
accelerations	percepatan
accelerator	akselerator
accelerators	akselerator
accelerometer	akselerometer
accelerometers	akselerometer
accent	aksen
accented	beraksen
accenting	menekankan
accentor	aksentor
accents	aksen
accentual	beraksen
accentuate	menonjolkan
accentuated	ditekankan
accentuates	menekankan
accentuating	menekankan
accentuation	penekanan
accept	menerima
acceptability	penerimaan
acceptable	dapat diterima
acceptably	dapat diterima
acceptance	penerimaan
acceptances	penerimaan
acceptation	penerimaan
accepted	diterima
accepter	penerima
accepting	menerima
acceptor	penerima
acceptors	penerima
accepts	menerima
access	mengakses
accessed	diakses
accesses	akses
accessibility	aksesibilitas
accessible	mudah diakses
accessibly	mudah diakses
accessing	mengakses
accession	pencapaian
accessioned	diakuisisi
accessioning	akses
accessions	aksesi
accessor	aksesoris
accessories	aksesoris
accessorize	aksesoris
accessorized	berhias
accessorizing	menambahkan aksesori
accessory	aksesori
accident	kecelakaan
accidental	kebetulan
accidentally	secara tidak sengaja
accidentals	kecelakaan
accidents	kecelakaan
accipiter	accipiter
acclaim	tepuk tangan sorak
acclaimed	diakui
acclamation	aklamasi
acclamations	tepuk tangan meriah
acclimate	beradaptasi
acclimated	teraklimatisasi
acclimating	beradaptasi
acclimation	aklimatisasi
acclimatization	aklimatisasi
acclimatize	beradaptasi
acclimatized	beradaptasi
acclivity	tanjakan
accolade	penghargaan
accolades	penghargaan
accommodate	menampung
accommodated	diakomodasi
accommodates	mengakomodasi
accommodating	mengakomodasi
accommodation	akomodasi
accommodations	akomodasi
accommodative	akomodatif
accompanied	disertai
accompanies	menyertai
accompaniment	iringan
accompaniments	iringan
accompanist	pengiring
accompanists	pengiring
accompany	menemani
accompanying	menyertai
accomplice	kaki tangan
accomplices	kaki tangan
accomplish	menyelesaikan
accomplished	ahli
accomplishes	mencapai
accomplishing	menyelesaikan
accomplishment	prestasi
accomplishments	prestasi
accord	sesuai
accordance	sesuai dengan
accordant	sesuai
accorded	diberikan
according	menurut
accordingly	demikian
accordion	akordeon
accordionist	pemain akordeon
accordions	akordeon
accords	kesepakatan
accost	menyapa
accosted	didekati
accosting	mendekati
account	akun
accountability	akuntabilitas
accountable	bertanggung jawab
accountancy	akuntansi
accountant	akuntan
accountants	akuntan
accounted	dipertanggungjawabkan
accounting	akuntansi
accounts	akun
accouterments	perlengkapan
accoutred	dilengkapi
accoutrement	perlengkapan
accoutrements	perlengkapan
accredit	mengakui
accreditation	akreditasi
accredited	terakreditasi
accrediting	mengakreditasi
accredits	mengakreditasi
accrete	mengakresi
accreted	terakumulasi
accreting	mengakumulasi
accretion	pertambahan
accretionary	akresi
accretions	akumulasi
accretive	akumulatif
accrual	akrual
accruals	akrual
accrue	bertambah
accrued	terkumpul
accrues	terakumulasi
accruing	terakumulasi
acct	akun
acculturated	terakulturasi
acculturation	akulturasi
accumulate	mengumpulkan
accumulated	terakumulasi
accumulates	terakumulasi
accumulating	mengakumulasi
accumulation	akumulasi
accumulations	akumulasi
accumulative	akumulatif
accumulator	aki
accumulators	akumulator
accuracies	akurasi
accuracy	ketepatan
accurate	tepat
accurately	secara akurat
accursed	terkutuk
accusation	tuduhan
accusations	tuduhan
accusative	akusatif
accusatory	menuduh
accuse	menuduh
accused	dituduh
accuser	penuduh
accusers	penuduh
accuses	menuduh
accusing	menuduh
accusingly	dengan nada menuduh
accustom	membiasakan
accustomed	biasa
accustoming	membiasakan diri
ace	kartu as
aced	berprestasi
acephalous	tidak berkepala
acerbic	tajam
aces	kartu as
acetabulum	asetabulum
acetal	asetal
acetaldehyde	asetaldehida
acetamide	asetamid
acetaminophen	parasetamol
acetate	asetat
acetates	asetat
acetic	asam asetat
acetone	aseton
acetyl	asetil
acetylated	asetilasi
acetylcholine	asetilkolin
acetylene	asetilen
ache	sakit
ached	sakit
achenes	achene
aches	sakit
achievable	dapat dicapai
achieve	meraih
achieved	tercapai
achievement	pencapaian
achievements	prestasi
achiever	orang yang berprestasi
achievers	orang-orang yang berprestasi
achieves	mencapai
achieving	mencapai
aching	sakit
achingly	sangat menyakitkan
achlorhydria	aklorhidria
achondroplasia	achondroplasia
achoo	bersin
achromat	akromat
achromatic	akhromatis
achy	pegal
acicular	jarum
acid	asam
acidic	asam
acidification	pengasaman
acidified	diasamkan
acidify	memasamkan
acidifying	pengasaman
acidity	keasaman
acidly	dgn muka asam
acidosis	asidosis
acids	asam
acidulated	yg ditambah asam
aciduria	asiduria
acing	menggiurkan
acini	asini
acknowledge	mengakui
acknowledged	diakui
acknowledgement	pengakuan
acknowledgements	ucapan terima kasih
acknowledges	mengakui
acknowledging	mengakui
acknowledgment	pengakuan
acknowledgments	ucapan terima kasih
acme	puncak
acne	jerawat
acolyte	pembantu
acolytes	para pengikut
aconite	aconit
acorn	biji pohon ek
acorns	biji ek
acoustic	akustik
acoustical	akustik
acoustically	secara akustik
acoustics	akustik
acpt	menerima
acquaint	memperkenalkan
acquaintance	kenalan
acquaintances	kenalan
acquaintanceship	perkenalan
acquainted	akrab
acquainting	berkenalan
acquaints	berkenalan
acquiesce	menyetujui
acquiesced	menyetujui
acquiescence	persetujuan
acquiescent	sepakat
acquiesces	menyetujui
acquiescing	menyetujui
acquire	mendapatkan
acquired	diperoleh
acquirement	perolehan
acquirer	pengakuisisi
acquirers	pihak pengakuisisi
acquires	memperoleh
acquiring	memperoleh
acquisition	perolehan
acquisitions	akuisisi
acquisitive	serakah
acquisitiveness	sifat serakah
acquit	membebaskan
acquits	membebaskan
acquittal	pembebasan
acquittals	pembebasan
acquitted	dibebaskan
acquitting	membebaskan
acre	hektar
acreage	luas lahan
acreages	lahan
acres	hektar
acrid	tajam
acridine	akridin
acrimonious	sengit
acrimony	kesengitan
acrobat	akrobat
acrobatic	akrobatis
acrobatics	akrobatik
acrobats	akrobat
acrolein	akrolein
acromegaly	akromegali
acromion	akromion
acronym	akronim
acronyms	singkatan
acrophobia	akrofobia
acropolis	akropolis
across	lintas
acrostic	akrostik
acrostics	akrostik
acrylamide	akrilamida
acrylic	akrilik
acrylics	akrilik
acrylonitrile	akrilonitril
act	bertindak
acted	bertindak
actg	bertindak
actin	aktin
acting	berakting
actinic	aktinik
actinide	aktinida
actinides	aktinida
actinium	aktinium
actinolite	aktinolit
actinomycete	aktinomisetes
actinomycetes	aktinomisetes
actinomycin	aktinomisin
actinomycosis	aktinomikosis
actins	aktin
action	tindakan
actionable	dapat ditindaklanjuti
actions	tindakan
activate	mengaktifkan
activated	diaktifkan
activates	mengaktifkan
activating	mengaktifkan
activation	pengaktifan
activations	aktivasi
activator	penggerak
activators	aktivator
active	aktif
actively	aktif
activeness	keaktifan
actives	bahan aktif
activism	aktivisme
activist	aktivis
activists	aktivis
activities	aktivitas
activity	aktivitas
actomyosin	aktomiosin
actor	aktor
actors	aktor
actress	aktris
actresses	aktris
acts	tindakan
actual	sebenarnya
actualities	kenyataan
actuality	kenyataan
actualization	aktualisasi
actualize	mewujudkan
actualized	diwujudkan
actualizing	mewujudkan
actually	Sebenarnya
actuarial	aktuaria
actuarially	secara aktuaria
actuaries	aktuaris
actuary	aktuaris
actuate	menjalankan
actuated	diaktifkan
actuates	mengaktifkan
actuating	mengaktifkan
actuation	aktuasi
actuator	aktuator
actuators	aktuator
acuity	ketajaman
acumen	ketajaman
acuminate	runcing
acupressure	akupresur
acupuncture	akupunktur
acupuncturist	ahli akupunktur
acupuncturists	ahli akupunktur
acute	akut
acutely	sangat akut
acuteness	ketajaman
acutes	akut
acyclic	asiklik
acyclovir	asiklovir
acyl	asil
ad	iklan
adage	pepatah
adages	pepatah
adagio	adagio
adagios	adagios
adamant	teguh
adamantine	adamantine
adamantly	dengan tegas
adapt	menyesuaikan
adaptability	kemampuan beradaptasi
adaptable	mudah beradaptasi
adaptation	adaptasi
adaptational	adaptasi
adaptations	adaptasi
adapted	diadaptasi
adapter	adaptor
adapters	adaptor
adapting	beradaptasi
adaption	adaptasi
adaptions	adaptasi
adaptive	adaptif
adaptively	secara adaptif
adaptiveness	kemampuan beradaptasi
adaptivity	kemampuan beradaptasi
adapts	beradaptasi
adaxial	adaksial
add	menambahkan
addax	addax
added	ditambahkan
addend	tambahan
addenda	tambahan
addendum	tambahan
adder	ular berbisa
adders	ular berbisa
addict	pencandu
addicted	kecanduan
addicting	membuat ketagihan
addiction	kecanduan
addictions	kecanduan
addictive	adiktif
addicts	pecandu
adding	menambahkan
addition	tambahan
additional	tambahan
additionally	tambahan
additions	tambahan
additive	aditif
additively	secara aditif
additives	aditif
additivity	aditif
addle	busuk
addled	busuk
address	alamat
addressable	dapat diatasi
addressed	ditujukan
addressee	penerima
addressees	penerima
addresses	alamat
addressing	membahas
adds	menambahkan
adduce	mengemukakan
adduced	disimpulkan
adduces	menambahkan
adducing	mengemukakan
adduct	aduk
adducted	diaduksi
adduction	aduksi
adductor	adduktor
adductors	adduktor
adducts	aduk
adenine	adenin
adenitis	adenitis
adenocarcinoma	adenokarsinoma
adenocarcinomas	adenokarsinoma
adenoid	adenoide
adenoidectomy	adenoidectomy
adenoids	adenoid
adenoma	adenoma
adenomas	adenoma
adenosine	adenosin
adenovirus	adenovirus
adenoviruses	adenovirus
adept	mahir
adeptly	dengan mahir
adepts	ahli
adequacy	kecukupan
adequate	memadai
adequately	cukup
adhere	mengikuti
adhered	melekat
adherence	ketaatan
adherent	penganut
adherents	pengikut
adheres	melekat
adhering	mematuhi
adhesion	adhesi
adhesive	perekat
adhesively	secara perekat
adhesiveness	kerekatan
adhesives	perekat
adiabatic	adiabatik
adiabatically	secara adiabatik
adieu	kata perpisahan
adios	selamat tinggal
adipose	jaringan adiposa
adiposity	obesitas
adit	terowongan
adits	terowongan
adj	kata sifat
adjacency	kedekatan
adjacent	bersebelahan
adjectival	kata sifat
adjective	kata sifat
adjectives	kata sifat
adjoin	berdampingan
adjoined	bersebelahan
adjoining	berdampingan
adjoins	bersebelahan
adjoint	adjoint
adjourn	menunda
adjourned	ditunda
adjourning	menunda
adjournment	penundaan
adjournments	penangguhan
adjourns	menunda
adjudge	menghukum
adjudged	dinilai
adjudicate	mengadili
adjudicated	diadili
adjudicates	memutuskan
adjudicating	mengadili
adjudication	pengadilan
adjudications	keputusan
adjudicative	bersifat mengadili
adjudicator	hakim
adjudicators	juri
adjudicatory	bersifat menghakimi
adjunct	tambahan
adjunction	tambahan
adjunctive	tambahan
adjuncts	tambahan
adjure	meminta dgn sangat
adjured	bersumpah
adjust	menyesuaikan
adjustable	dapat disesuaikan
adjusted	disesuaikan
adjuster	penyesuai
adjusters	penilai
adjusting	menyesuaikan
adjustment	pengaturan
adjustments	penyesuaian
adjusts	menyesuaikan
adjutant	ajudan
adjutants	ajudan
adjuvant	pembantu
adjuvants	adjuvan
adman	pengiklan
admin	admin
administer	mengelola
administered	dikelola
administering	mengelola
administers	mengelola
administrate	mengelola
administrated	dikelola
administrates	mengelola
administrating	mengelola
administration	administrasi
administrations	administrasi
administrative	administratif
administratively	secara administratif
administrator	administrator
administrators	administrator
admins	admin
admirable	terpuji
admirably	sangat mengagumkan
admiral	laksamana
admirals	para laksamana
admiralty	angkatan laut
admiration	kekaguman
admire	mengagumi
admired	kagum
admirer	pengagum
admirers	pengagum
admires	mengagumi
admiring	mengagumi
admiringly	dengan penuh kekaguman
admissibility	kelayakan
admissible	dapat diterima
admission	penerimaan
admissions	penerimaan
admit	mengakui
admits	mengakui
admittance	penerimaan
admitted	mengakui
admittedly	memang
admitting	mengakui
admix	mempercampurkan
admixed	dicampur
admixture	campuran
admixtures	campuran
admonish	menegur
admonished	ditegur
admonishes	menasihati
admonishing	menasihati
admonishment	pengingatan
admonishments	peringatan
admonition	peringatan
admonitions	peringatan
admonitory	yg memperingatkan
ado	ribut
adobe	adobe
adobes	rumah adobe
adolescence	masa remaja
adolescent	remaja
adolescents	remaja
adonis	Adonis
adopt	mengambil
adoptable	dapat diadopsi
adopted	diadopsi
adoptee	anak pungut
adopter	pengadopsi
adopters	pengadopsi
adopting	mengadopsi
adoption	adopsi
adoptions	adopsi
adoptive	adopsi
adopts	mengadopsi
adorable	menggemaskan
adorably	menggemaskan
adoration	pemujaan
adore	cinta
adored	dipuja
adores	memuja
adoring	memuja
adoringly	dengan penuh kasih sayang
adorn	menghiasi
adorned	dihiasi
adorning	menghiasi
adornment	perhiasan
adornments	perhiasan
adorns	menghiasi
adown	turun
adrenal	kelenjar adrenal
adrenaline	adrenalin
adrenals	kelenjar adrenal
adrenergic	adrenergik
adrenocorticotropic	adrenokortikotropik
adrift	terombang-ambing
adroit	gesit
adroitly	dengan cekatan
adroitness	ketangkasan
ads	iklan
adsorb	adsorpsi
adsorbate	adsorbat
adsorbates	adsorbat
adsorbed	terserap
adsorbent	adsorben
adsorbents	adsorben
adsorbing	mengadsorpsi
adsorbs	mengadsorpsi
adsorption	adsorpsi
adsorptive	adsorptif
adulation	sanjungan
adult	dewasa
adulterants	bahan pemalsu
adulterate	memalsukan
adulterated	dicampur
adulteration	pemalsuan
adulterations	pemalsuan
adulterer	pezina
adulterers	pezina
adulteress	wanita pezina
adulteries	perzinahan
adulterous	berzina
adultery	zina
adulthood	masa dewasa
adults	orang dewasa
adumbrated	diuraikan
adv	iklan
advance	maju
advanced	canggih
advancement	kemajuan
advancements	kemajuan
advancer	pendahulu
advances	kemajuan
advancing	maju
advantage	keuntungan
advantaged	diuntungkan
advantageous	menguntungkan
advantageously	menguntungkan
advantages	keuntungan
advection	adveksi
advent	kedatangan
adventitia	adventisia
adventitious	kebetulan
adventure	petualangan
adventured	berpetualang
adventurer	petualang
adventurers	petualang
adventures	petualangan
adventuresome	suka berpetualang
adventuress	petualang perempuan
adventuring	berpetualang
adventurism	petualangan
adventurous	petualang
adverb	kata keterangan
adverbial	kata keterangan
adverbials	kata keterangan
adverbs	kata keterangan
adversarial	bermusuhan
adversaries	musuh
adversary	musuh
adverse	merugikan
adversely	merugikan
adversities	kesulitan
adversity	kesulitan
advert	iklan
adverted	iklan
adverting	iklan
advertise	mengiklankan
advertised	diiklankan
advertisement	iklan
advertisements	iklan
advertiser	pemasang iklan
advertisers	pengiklan
advertises	mengiklankan
advertising	iklan
advertorial	advertorial
advertorials	advertorial
adverts	iklan
advice	nasihat
advices	nasihat
advisability	kelayakan
advisable	sebaiknya
advise	menasihati
advised	disarankan
advisedly	dgn dipertimbangkan
advisee	orang yang diberi nasihat
advisees	orang yang diberi nasihat
advisement	saran
adviser	penasihat
advisers	penasihat
advises	menasihati
advising	memberi nasihat
advisor	penasihat
advisories	peringatan
advisors	penasihat
advisory	nasihat
advocaat	pengacara
advocacy	pembelaan
advocate	menganjurkan
advocated	menganjurkan
advocates	pendukung
advocating	menganjurkan
advowson	pengangkatan
advt	iklan
adware	adware
adz	kapak
adze	kapak
adzes	kapak
ae	ae
aedes	aedes
aegis	perlindungan
aeolian	angin
aeon	zaman
aeons	zaman
aerate	menganginkan
aerated	berudara
aerating	mengaerasi
aeration	aerasi
aerator	aerator
aerators	aerator
aerial	udara
aerialist	akrobat udara
aerially	dari udara
aerials	antena
aerie	sarang
aero	aero
aerobatic	akrobatik
aerobatics	akrobatik
aerobic	aerobik
aerobically	secara aerobik
aerobics	senam aerobik
aerobraking	pengereman aerodinamis
aerodrome	lapangan terbang
aerodromes	bandara
aerodynamic	aerodinamis
aerodynamically	secara aerodinamis
aerodynamics	aerodinamika
aerodyne	aerodinamis
aerolite	aerolit
aeromedical	medis udara
aeron	aeron
aeronaut	penerbang
aeronautic	berhubung dgn aeronotika
aeronautical	penerbangan
aeronautics	aeronautika
aerosol	aerosol
aerosols	aerosol
aerospace	kedirgantaraan
aerostat	aerostat
aesthete	estetikus
aesthetes	para pencinta estetika
aesthetic	estetis
aesthetically	secara estetika
aestheticism	estetika
aesthetics	estetika
aether	eter
afar	jauh
afeard	takut
afebrile	tidak demam
affability	keramahan
affable	ramah
affably	ramah
affair	perselingkuhan
affaire	perselingkuhan
affaires	urusan
affairs	urusan
affect	memengaruhi
affectation	sok aksi
affectations	tingkah laku
affected	terpengaruh
affecting	mempengaruhi
affection	kasih sayang
affectional	penuh kasih sayang
affectionate	penuh kasih sayang
affectionately	dengan penuh kasih sayang
affections	kasih sayang
affective	afektif
affectively	secara afektif
affects	mempengaruhi
affenpinscher	anjing Affenpinscher
afferent	aferen
affianced	bertunangan
affiant	pemberi sumpah
affiche	poster
affidavit	surat sumpah
affidavits	pernyataan tertulis
affiliate	afiliasi
affiliated	berafiliasi
affiliates	afiliasi
affiliating	berafiliasi
affiliation	afiliasi
affiliations	afiliasi
affiliative	afiliatif
affinal	akhfinal
affine	afin
affinities	afinitas
affinity	afinitas
affirm	menegaskan
affirmation	afirmasi
affirmations	penegasan
affirmative	setuju
affirmatively	secara tegas
affirmed	menegaskan
affirming	menegaskan
affirms	menegaskan
affix	afiks
affixation	afiksasi
affixed	terpasang
affixes	imbuhan
affixing	menempelkan
afflict	menimpa
afflicted	menderita
afflicting	menimpa
affliction	penderitaan
afflictions	penderitaan
afflictive	menyusahkan
afflicts	menimpa
affluence	kemakmuran
affluent	makmur
afford	memberi
affordability	keterjangkauan
affordable	terjangkau
affordably	terjangkau
afforded	diberikan
affording	mampu
affords	menyediakan
afforestation	penghutanan
afforested	berhutan
affray	keributan
affricate	afrikat
affright	menakuntukan
affrighted	ketakutan
affront	penghinaan
affronted	tersinggung
affronts	penghinaan
afghan	Afghanistan
afghani	Afghani
afghanis	orang Afghanistan
afghans	orang Afghanistan
aficionado	penggemar
aficionados	penggemar
afield	jauh
afire	terbakar
aflame	terbakar
aflatoxin	aflatoksin
afloat	terapung
aflutter	berkibar
afoot	berjalan kaki
afore	di depan
aforementioned	tersebut di atas
aforesaid	tersebut di atas
aforethought	sengaja
aforetime	dahulu kala
afoul	melanggar
afraid	takut
afresh	lagi
aft	buritan
after	setelah
afterbirth	tembuni
afterburner	pembakar tambahan
afterburners	pembakar tambahan
aftercare	rehabilitasi
aftereffect	efek samping
aftereffects	efek samping
afterglow	cahaya senja
afterglows	cahaya senja
afterimage	bayangan setelahnya
afterlife	akhirat
aftermarket	pasar purna jual
aftermath	akibat
afternoon	sore
afternoons	sore hari
afters	setelahnya
afterschool	sepulang sekolah
aftershave	aftershave
aftershaves	aftershave
aftershock	gempa susulan
aftershocks	gempa susulan
aftertaste	rasa setelahnya
afterthought	renungan
