fax	faks, fax
aaaa	aaaa
aacsb	aacsb
aah	aah
aal	aal
aam	aam
aan	aan
aao	aao
aardvark	aardvark
aavso	aavso
aba	aba
abaca	abaca
abad	abad
abandoned	terbengkalai, ditinggalkan, ditelantarkan
abandoning	menelantarkan
abar	abar
abate	abate
abbas	abbas
abbasid	kekhalifahan
abbaye	abbaye
abbes	abbes
abbey	abbey, biara
abbot	abbas, abbot
abbots	abbots
abbreviated	disingkat
abbreviation	kependekan, singkatan
abbreviations	singkatan
abby	abby
abc	abc
abcd	abcd, joss
abcs	abc
abd	abd
abdalla	abdalla
abdallah	abdallah
abdelaziz	abdelaziz
abdellah	abdellah
abdi	abdi
abdirahman	abdirahman
abdo	abdo
abdomen	perut
abdominal	perut
abdon	abdon
abdou	abdou
abducted	diculik
abducting	menculik
abduction	penculikan
abductions	penculikan
abductor	penculik
abdul	abdul
abdullah	abdullah
abdullahi	abdullahi
abe	abe
abel	abel, habel
abelian	abelian
abend	abend
aberdeen	aberdeen
aberration	kelainan
abetting	bersekongkol
abg	abg
abhi	abhi
abhidhamma	abhidhamma
abid	abid
abilene	abilene
abilities	kemampuan
ability	kemampuan
abit	abit
abitur	abitur
able	able, mampu
abm	abm
abma	abma
abn	abn
abnormal	abnormal
abnormalities	kelainan
abo	abo
abominable	keji
aboriginal	aborigin
abort	batalkan, batal
abortion	aborsi
abortions	aborsi
aboud	aboud
abounds	berlimpah
about	tentang, ttg, perihal, sekitar
above	diatas
abp	abp
abr	abr
abra	abra
abraham	ibrahim, abraham
abram	abram
abramowitz	abramovich
abrams	abrams
abrasion	abrasi
abrasions	lecet
abraxas	abraxas
abrikosov	abrikosov
abruzzi	abruzzi
abs	abs
abscess	bisul
absence	ketidakhadiran, ketiadaan, absen
absences	ketidakhadiran, absen
absent	absen
absinthe	absinthe
absolut	absolut
absolute	mutlak, absolut, absolute
absolutism	absolutisme
absorb	menyerap, serap
absorbed	diserap, menyerap
absorbent	penyerap
absorbing	menyerap
absorbs	menyerap
absorption	penyerapan
abstention	adidaya
abstinence	pantang
abstract	abstrak
abstraction	abstraksi
abstracts	abstrak
